,,Level Unlock,,,,,,,,,,,,,,,
,,Open,Linear,,,,,,,,,,,,,,
,,Construction Yard Unlock,1 Final Showdown Ticket,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Locations,,,,,,,,,,,,,,,
Coin Address,Coin PopTracker Group,Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
0x0C75E8,Ground Floor,Construction Yard - SW Area - Floor Near Hamm #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C74D8,Ground Floor,Construction Yard - SW Area - Floor Near Hamm #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7788,Ground Floor,Construction Yard - SW Area - Fence Corner - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C74E8,Ground Floor,Construction Yard - Construction Base - SW Corner - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7768,Ground Floor,Construction Yard - Construction Base - NW Corner - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7578,Ground Floor,Construction Yard - Construction Base - North Side - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7588,Ground Floor,Construction Yard - Construction Base - Far from NE - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7718,Ground Floor,Construction Yard - Bulldozer - Front Left Tire - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C76E8,Ground Floor,Construction Yard - Bulldozer - Floor to the Right - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C76F8,Ground Floor,Construction Yard - Bulldozer - Underneath #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
