,,Level Unlock,,,,,,,,,,,,,,,
,,Open,Linear,,,,,,,,,,,,,,
,,Al's Toy Barn Unlock,2 Final Showdown Tickets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,IMPORTANT NOTE IN LOGIC FOR THIS LEVEL: Disc Launcher is Only Accesible if you have Double Jump + Ledge Grab OR Pole Climb,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Locations,,,,,,,,,,,,,,,
Coin Address,Coin PopTracker Group,Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
0x0C75E8,Race Hallway,Al's Toy Barn - Race Hallway - Trampoline - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7628,Toy Aisles,Al's Toy Barn - Toy Aisles - Box near Basketballs - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7668,Toy Aisles,Al's Toy Barn - Toy Aisles - Hula Hoop Aisle - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C3AFA,Toy Aisles,Al's Toy Barn - Toy Aisles - Plane #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C3B92,Toy Aisles,Al's Toy Barn - Toy Aisles - Plane #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C3932,Checkout,Al's Toy Barn - Checkout - Plane #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C39CA,Checkout,Al's Toy Barn - Checkout - Plane #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C389A,Checkout,Al's Toy Barn - Checkout - Plane Box - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR Movement & Gadgets,,Disc Launcher,,,,,,,,,
